project_id,donor,title,year,year_uncertain,description,crs_sector_code,crs_sector_name,sector_comment,status,status_code,flow,all_recipients,sources,sources_count,funding_agency,implementing_agency,donor_agency,donor_agency_count,recipient_agencies,recipient_agencies_count,verified,verified_code,flow_class,flow_class_code,intent,intent_code,active,active_code,factiva_sources,amount,currency,deflators_used,exchange_rates_used,usd_defl,start_actual,start_planned,end_actual,end_planned,recipient_count,recipient_condensed,recipient_cow_code,recipient_oecd_code,recipient_oecd_name,recipient_iso3,recipient_iso2,recipient_un_code,recipient_imf_code,debt_uncertian,line_of_credit,is_cofinanced,is_ground_truthing,loan_type,interest_rate,maturity,grace_period,grant_element,updated_at,location_details,contacts,is_official_finance
32274,Qatar,"Qatar Gives 400,000 Tons of fertilizer to Bangladesh",2010,TRUE,"In September 2010, Qatar agreed to supply 400,000 metric tons of Urea to Bangladesh. Under the agreement, Qatar Fertilizer Company Limited (QFCL) will supply the fertilizer. Deputy Prime Minister of Qatar, also the Energy and Industrial Affairs Minister, Abdullah Bin Hamad Al Atiyah confirmed this agreement to the Industries Minister, Dilip Barua. State Minister for the Ministry of Energy and Industrial Affairs Mohamed Saleh Al Sada, Bangladesh Ambassador in Qatar M Shahdat Hossain, BCIC Chairman KH Masud Siddiqui, director Ranjan Dutta and high officials of both Bangladesh and Qatar were present. This agreement is 100,000 more tons of Urea than was given in fiscal year 2009. Confirmation of the delivery of the fertilizer as well as how much it is worth remain unknown. ",310,"Agriculture, Forestry and Fishing",,Pipeline: Commitment,11,In-kind Grant (Goods or Services),Bangladesh,"https://global.factiva.com/aa/?ref=NNATBD0020100831e69100078&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://news.priyo.com/story/2010/aug/31/qatar-agrees-supply-four-lakh-tons-urea-year, Media Report, including Wikileaks",2,Qatar Fertilizer Company Limited (QFCL),,,,Qatar Fertilizer Company Limited (QFCL),1,Check,0,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=NNATBD0020100831e69100078&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,1,Bangladesh,771,666,Bangladesh,BGD,BD,50,513,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-25 10:44,,"Dilip Barua, Industries Minister ; Ranjan Dutta, Director ; Abdullah Bin Hamad Al Atiyah, Qatari Energy and Industrial Affairs Minister ; KH Musad Siddiqui, Bangladesh Chemical Industries Corporation chairman ; Mohamed Saleh Al Sada, State Minister for the Ministry of Energy and Industrial Affairs ",0
32256,Qatar,Qatar to help Set Up a Nursing Institute in Bangladesh,2010,FALSE,"In March 2010, Qatar Minister Khaled Bin Mohamed Al-Atiya met with Bangladeshi Foreign Minister and stated that 'Qatar will help set up a nursing institute in Bangladesh to produce more skilled nurses for appointment there . No other details were given. ",110,Education,,Pipeline: Pledge,12,Vague-TBD,Bangladesh,"https://global.factiva.com/aa/?ref=PMPLUN0020100317e63c00cjy&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.mofa.gov.bd/PressRelease/PrintPRDetails.php?txtUserId=&PRid=585, Government Source (Donor/Recipient)",2,,,,,,,Check,0,Vague (Official Finance),5,Development,1,Active,1,"https://global.factiva.com/aa/?ref=PMPLUN0020100317e63c00cjy&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,1,Bangladesh,771,666,Bangladesh,BGD,BD,50,513,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-25 16:13,,"Dipu Moni, Bangladeshi Foreign Minister ; Khaled Bin Mohammed Al-Attiya, Qatari Foreign Minister ",0
32259,Qatar,Qatar donates $100 million to Rejuvinate River Buriganga,2010,FALSE,"In March 2010, Qatar pledged $100 million to Bangladesh to revitalize the polluted Buriganga River by diverting water from the River Jamuna. Qatar said it would finance the dredging of a 22-kilometer river from Sirajganj point on the Jamuna River to Jamuna Bridge point of Dhaleshwari. Qatar also agreed to then donate the dredgers used to Bangladesh. As of February 6, 2013, the mega project has been renamed the  Garbage Cleaning and Purification of Water from Buriganga, Shitalakhya and Turag and is awaiting approval from the Planning Ministry. According to a report from May 2012, Qatar had procured five dredgers and ancillary equipment for the revival of the river systems at $55.26 million. STAFF_NOTE: It is unclear whether the dredgers are being purchased by Bangladesh or donated by Qatar. ",410,General Environmental Protection,,Pipeline: Pledge,12,In-kind Grant (Goods or Services),Bangladesh,"https://global.factiva.com/aa/?ref=PMPLUN0020100320e63k000cf&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.iwapublishing.com/template.cfm?name=gndmar3010, Media Report, including Wikileaks; http://www.dhakamirror.com/headlines/tk-21cr-goes-down-rivers/, Media Report, including Wikileaks; http://daily-frontier.com/Frontier/news.php?name=2013095955, Media Report, including Wikileaks; http://gurumia.com/tag/hazrat-shahjalal-international-airport/, Media Report, including Wikileaks; http://www.dhakamirror.com/metropolitan/qatar-pledges-100m-to-save-buriganga/, Media Report, including Wikileaks",6,,,,,,,Suspicious,0,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=PMPLUN0020100320e63k000cf&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",100000000,USD,0.95,1,"105,263,158",,,,,1,Bangladesh,771,666,Bangladesh,BGD,BD,50,513,FALSE,FALSE,FALSE,FALSE,,,,,,14-08-05 10:14,River Buriganga,"Abdul Wadud Bhuiyan, The chief of planning of the Bangladesh Water Development Board ; Ramesh Chandra Sen, Water resources minister ; Mohammad Al Atiyah, Qatari international relations minister ",0
33751,Qatar,Reach Out to Asia builds girls school,2010,TRUE,"Reach Out to Asia has partnered with the NGO Mercy Corp and plans on building a new girls school in the Al-Fao District in Iraq. This project focuses on improving female students' access to intermediate education in seven villages, and aims to reduce the number of dropouts by 50%. This project is vague and its current status is unknown.",110,Education,,Implementation,2,Vague-TBD,Iraq,"http://www.reachouttoasia.org/en/project-detail/construction-state-art-intermediate-school-girls-%E2%80%93-al-fao-district, Government Source (Donor/Recipient); http://www.reachouttoasia.org/en/construction-state-art-intermediate-school-girls-%E2%80%93-al-fao-district, Government Source (Donor/Recipient); http://www.qatarisbooming.com/article/rota-international-projects-benefit-gala-dinner-fundraising, Media Report, including Wikileaks",3,"Reach Out to Asia (ROTA), National NGO","Mercy Corps, International NGO","Reach Out to Asia (ROTA), National NGO",1,,,Check,0,ODA-like,2,Development,1,Active,1,,,,,,,,,,,1,Iraq,645,543,Iraq,IRQ,IQ,368,433,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-28 17:10,Al-Fao District,,0
32299,Qatar,Qatar Charity donates 80 tons of aid to Pakistan,2010,FALSE,Qatar Charity sent 80 tons of aid to Pakistan in September 2010 via an air bridge set up under the patronage of Sheikh Mohammed bin Khalifa al Thani. The aid was sent in collaboration with Qatar Airways. Possible link to Project ID#32297,700,Emergency Response,,Completion,3,In-kind Grant (Goods or Services),Pakistan,"https://global.factiva.com/aa/?ref=PMPLUN0020100920e69k0007p&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://gulfnews.com/news/gulf/qatar/charity-organisations-in-qatar-raise-16-million-for-pakistan-flood-victims-1.683863, Media Report, including Wikileaks; http://theislamicnews.com/16-million-pakistan-flood-charity-qatar/, Media Report, including Wikileaks; http://www.app.com.pk/en_/index.php?option=com_content&task=view&id=116333, Media Report, including Wikileaks; http://thepeninsulaqatar.com/news/qatar/126563/charities-raise-qr58m-for-pakistan, Media Report, including Wikileaks",5,"Qatar Charity, National NGO","Qatar Airways, Private Sector","Qatar Charity, National NGO",1,,,Check,0,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=PMPLUN0020100920e69k0007p&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-25 10:55,,,0
33346,Qatar,Qatar RAF starts work on 43 water treatment plants in Pakistan (linked to project ID #33345),2010,FALSE,In 2010 it was reported that Sheikh Thani Bin Abdullah Foundation for Humanitarian Services had begun implementing 43 water treatment plants to provide drinking water to flood affected areas of Pakistan. The financial amount and the current state of this project are unclear. ,700,Emergency Response,,Implementation,2,In-kind Grant (Goods or Services),Pakistan,"http://theislamicnews.com/16-million-pakistan-flood-charity-qatar/, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=PMPLUN0020100920e69k0007p&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",2,"Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF), Government Agency",,"Sheikh Thani bin Abdullah Foundation for Humanitarian Services (RAF), Government Agency",1,,,Check,0,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=PMPLUN0020100920e69k0007p&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-23 10:57,,,0
32287,Qatar,Qatar cargo plane delivers aid to Pakistan's flood victims ,2010,FALSE,"On August 4, 2010 two aircrafts, one from Qatar and one from Turkey, arrived at Chak Lala Airbase in Islamabad. The one from Qatar was carrying 25 tons of relief aid, including food items, medical aid and tents for the flood affected people of Pakistan. This was part of a larger effort, with Turkey sending 1200 food packets, 1000 quilts, 1500 sleeping bags, and 1270 mattresses and Spain sending 94 tents, 720 kitchen kits, and 552 high chain kits. STAFF_NOTE: Linked to project ID#32285",700,Emergency Response,,Completion,3,In-kind Grant (Goods or Services),Pakistan,"https://global.factiva.com/aa/?ref=PAKBNK0020100805e6850005m&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=PAPRIN0020100806e68500004&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",2,,,,,,,Check,0,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=PAKBNK0020100805e6850005m&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=PAPRIN0020100806e68500004&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-23 10:31,Chak Lala Airbase,"Hasan Zulfiqar, Director, Pakistan's National Disaster Management Authority ",0
32285,Qatar,Qatar to set up field hospital for Pakistan's flood victims (Linked to Project ID #32287),2010,FALSE,"On August 27, 2010 an additional plane carrying relief supplies arrived at Chaklala Airbase from Qatar as part of a humanitarian relief mission. The planes, received by Charge d'Affaires of the Qatari Embassy in Islamabad Mohammed Harib Mattar, Commander of the Force of the Mission Brig. Abdullah Abujsoom, and Deputy Commander of the Force of the Mission Brig. Mohammed Al Amri, carried a team of Medical Specialists, Rescue Operations group, and medical aid for Pakistanis affected by the floods. The medical team planned to open a field hospital in Nowshera. Link to project ID#32287",700,Emergency Response,,Implementation,2,Free-standing technical assistance,Pakistan,"https://global.factiva.com/aa/?ref=ASPTRO0020100903e68r0003w&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.thefreelibrary.com/Qatari+Relief+Mission+to+set+up+a+field+hospital.-a0236042923, Media Report, including Wikileaks",2,,,,,,,Check,0,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=ASPTRO0020100903e68r0003w&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-25 14:25,Noshwera,"Mohammed Harib Mattar, Charge d'Affairs of the Embassy of the State of Qatar in Islamabad ",0
33032,Qatar,ROTA funds social welfare for displaced Pakistani children,2010,FALSE,"In 2010 Reach Out To Asia provided a grant to the NGO, Mercy Corps, in order to implement a social welfare program for internally displaced Pakistani children. This project was to be implemented from June to August. The financial details of this project are unclear. ",160,Other Social infrastructure and services,,Completion,3,Monetary Grant (excluding debt forgiveness),Pakistan,"http://www.reachouttoasia.org/en/project-detail/social-revitalization-displaced-children-north-west-frontier-province-pakistan, NGO/Civil Society/Advocacy; http://thepeninsulaqatar.com/news/qatar/283628/thousands-of-kids-benefit-from-rota-project-in-swat, Media Report, including Wikileaks",2,"Reach Out to Asia (ROTA), National NGO","Mercy Corps, International NGO","Reach Out to Asia (ROTA), National NGO",1,,,Check,0,ODA-like,2,Development,1,Active,1,,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-08-04 14:35,,,0
33033,Qatar,ROTA gives furniture to 14 schools,2010,FALSE,"In 2010, the Qatari charity Reach Out to Asia, in partnership with the Association of Academic Quality, provided school furniture for 14 schools in Nar Sher Ali Khan, Bagh Azad Jamu and Kashmir. These schools had been constructed by the Qatar Red Crescent. The implementation of this project occurred between March and April, 2010. ",110,Education,,Completion,3,In-kind Grant (Goods or Services),Pakistan,"http://www.reachouttoasia.org/en/project-detail/supplying-furniture-14-schools-bar-sher-ali-khan-bagh-ajk, NGO/Civil Society/Advocacy; http://www.reachouttoasia.org/en/projects/Pakistan, NGO/Civil Society/Advocacy",2,"Reach Out to Asia (ROTA), National NGO","Qatar Red Crescent Society, National NGO","Qatar Red Crescent Society, National NGO; Reach Out to Asia (ROTA), National NGO",2,,,Check,0,ODA-like,2,Development,1,Active,1,,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-23 10:51,"Nar Sher Ali Khan, Bagh Azad Juma, and Kashmir",,0
