project_id,donor,title,year,year_uncertain,description,crs_sector_code,crs_sector_name,sector_comment,status,status_code,flow,all_recipients,sources,sources_count,funding_agency,implementing_agency,donor_agency,donor_agency_count,recipient_agencies,recipient_agencies_count,verified,verified_code,flow_class,flow_class_code,intent,intent_code,active,active_code,factiva_sources,amount,currency,deflators_used,exchange_rates_used,usd_defl,usd_current,start_actual,start_planned,end_actual,end_planned,recipient_count,recipient_condensed,recipient_cow_code,recipient_oecd_code,recipient_oecd_name,recipient_iso3,recipient_iso2,recipient_un_code,recipient_imf_code,debt_uncertian,line_of_credit,is_cofinanced,is_ground_truthing,loan_type,interest_rate,maturity,grace_period,grant_element,updated_at,location_details,contacts,is_official_finance,SFD Official Loan,source_triangulation,field_completeness,Total Health of Record Score (triangulation + completeness)
32949,Saudi Arabia,WAMY Distributes Saudi Aid to 7000 Somali Families (duplicate),2011,FALSE,"On November 20, 2011, The office of the World Assembly of Muslim Youth (WAMY) in Somalia distributed aid to 7,000 families yesterday, the largest delivery yet of humanitarian supplies from the Saudi National Campaign for the Relief of the Somali People. The process of handing out relief to famine victims was supervised by Somali Prime Minister Abdiweli Mohamed Ali and a number of other ministers. The Prime Minister expressed his appreciation to the Custodian of the Two Holy Mosques King Abdullah bin Abdulaziz for launching the humanitarian appeal to help the people of Somalia.",700,Emergency Response,,Completion,3,Grant,Somalia,"https://web.archive.org/web/20111124224303/http://www.saudiembassy.net/latest_news/news11201101.aspx, Government Source (Donor/Recipient)",1," Saudi National Campaign for the Relief of the Somali People, Government Agency","World Assembly of Muslim Youth, International NGO"," Saudi National Campaign for the Relief of the Somali People, Government Agency",1,,,Checked,1,ODA-like,2,Development,1,Active,1,,,,,,,,,,,,1,Somalia,520,273,Somalia,SOM,SO,706,726,FALSE,FALSE,FALSE,FALSE,,,,,,14-10-03 16:51,,"Abdiweli Mohamed Ali, Somali Prime Minister ",1,,3,8,11
33110,Saudi Arabia,Saudi funds Markala Sugar Project,2010,FALSE,"The Saudi Fund for Development offered a portion of the total 540 million USD cost of Mali's Markala Sugar Project, a Public Private Partnership to develop sugar-cane plantations. The Saudi Fund for Development donated to the agriculture component of the project, an estimated 240 million USD of the total 540 million USD, wit the industrial component estimated at 300 million USD. Other donors include African Development Bank. The amount of the Saudi Fund's individual donation is unknown.",310,"Agriculture, Forestry and Fishing",expansion of sugar industry,Pipeline: Pledge,12,Grant,Mali,"https://global.factiva.com/aa/?ref=TRAFIN0020110405e7320002a&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.fao.org/bioenergy/31530-0af3706e7240fe92a72ca083cf834cce5.pdf, Other Official Source (non-Donor, non-Recipient); http://www.fbreporter.com/2013-04-11-09-53-40/food-beverage-reporter/1009-news-update-11-february-2011/24768-markala-sugar-project-mali, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=TRAFIN0020110613e7540002s&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=TRAFIN0020110405e73200030&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.afdb.org/fileadmin/uploads/afdb/Documents/Project-and-Operations/MALI_-_AR_Agricultural_Component_Markala_Project_.pdf, Other Official Source (non-Donor, non-Recipient)",6,"Saudi Fund for Development, Government Agency","OPEC Fund for International Development, Multilateral","African Development Bank, Multilateral; West African Development Bank (WADB/BOAD), Multilateral; Islamic Development Bank, Multilateral; Kuwaiti Fund for Arab Economic Development, Government Agency; Saudi Fund for Development, Government Agency",5,,,Checked,1,ODA-like,2,Mixed (Some Development),6,Active,1,"https://global.factiva.com/aa/?ref=TRAFIN0020110405e7320002a&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=TRAFIN0020110613e7540002s&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=TRAFIN0020110405e73200030&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Mali,432,255,Mali,MLI,ML,466,678,FALSE,FALSE,TRUE,FALSE,,,,,,14-09-04 10:47,,,1,,6,6,12
33325,Saudi Arabia,Prince Alwaweed donates to university in Tanzania,2011,TRUE,"In December 2011 Prince Alwaleed Bin Talal Bin Abdulaziz Al Saud, chairman of Alwaleed Bin Talal Foundation donated to construction of a university building in Dar Es Salaam. The donation was made during a visit with Princess Ameerah Al Taweel, vice chairwoman of the Alwaleed Bin Talal Foundation, and at the request of President Jakaya Mrisho Kikwete.",110,Education,,Completion,3,Grant,Tanzania,"http://www.alwaleed.com.sa/news-and-media/news/prince-alwaleed-visit-tanzania-meet-president/, Government Source (Donor/Recipient); http://www.mideast-times.com/home_news.php?newsid=3551, Media Report, including Wikileaks; http://www.ameinfo.com/blog/company-news/k/kingdom-holding-company/prince-alwaleed-visits-tanzania-and-meets-president/, Media Report, including Wikileaks",3,"Alwaleed bin Talal Foundations, Foundation",,"Alwaleed bin Talal Foundations, Foundation",1,,,Checked,1,ODA-like,2,Development,1,Active,1,,,,,,,,,,,,1,Tanzania,510,282,Tanzania,TZA,TZ,834,738,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-22 20:38,Dar Es Salaam," Prince Alwaleed Bin Talal Bin Abdulaziz Al Saud, Alwaleed Bin Talal Foundation ; Princess Ameerah Al Taweel, vice chairwoman of the Alwaleed Bin Talal Foundation ; Jakaya Mrisho Kikwete, Tanzanian President ",1,,4,6,10
32376,Saudi Arabia,ITFC and SEP finance Saudi exports to Egypt,2010,FALSE,"The International Islamic Trade Finance Corporation (ITFC), an autonomous entity within the Islamic Development Bank (IDB) Group, has signed a $100 million deal with Saudi Export Program (SEP) to help finance Saudi exports to Egypt. The ITFC, as part of its trade financing program to provide Egypt with its strategic energy requirements, has organized a series of trade finance operations valued at $358 million. This trade finance operation is intended for the Egyptian General Petroleum Corporation (EGPC), providing it with strategic financing in order to import petroleum products from Saudi Arabia. The Saudi Export Program operates as a branch of the Saudi Fund for Development. STAFF_NOTE: Transaction amount uncertain. ",330,Trade and Tourism,,Pipeline: Commitment,11,Export credits,Egypt,"https://global.factiva.com/aa/?ref=MENREP0020100701e67100002&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=MECOMP0020100701e67100031&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=MISTNW0020100813e674000kf&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.itfc-idb.org/content/itfc-and-saudi-export-program-sep-100-million-strategic-linkup-finance-saudi-exports-egypt, Implementing/Intermediary Agency Source",4, Saudi Export Program,,"Saudi Export Program, Government Agency; International Islamic Trade Finance Corporation, Multilateral",2,"Egyptian General Petroleum Corporation, State-Owned Company",1,Checked,1,OOF-like,3,Commercial,2,Active,1,"https://global.factiva.com/aa/?ref=MENREP0020100701e67100002&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=MECOMP0020100701e67100031&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://global.factiva.com/aa/?ref=MISTNW0020100813e674000kf&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Egypt,651,142,Egypt,EGY,EG,818,469,FALSE,FALSE,TRUE,FALSE,,,,,,14-10-02 11:20,,"Ahmed Al Ghanam, SEP general manager ; Dr Waleed Al Wohaib, Chief Executive (International Islamic Trade Finance Corporation)",1,,4,6,10
32824,Saudi Arabia,Saudi Arabia Announces Construction of 100 Mosques,2013,FALSE,"Saudi Arabia Deputy Ambassador Jasim Al-Khaldi announced the construction of 100 small and medium mosques in Pakistan June 8, 2013. Al-Khaldi simultaneously announced the construction of 100 wells for drinking water, the sponsoring of 2000 eye surgeries during a press conference for the International Islamic Relief Organization. Al-Khaldi estimated a cost of the projects at 182 million PKR, however it is unclear if this was the cost of a single project or the cumulative cost of all the projects. As of Aug. 1, 2013, regional director for IIRO Dr. Abda Muhammad Ateen said the mosques' construction was a work in progress and would be completed soon. (Linked to Project ID #32826, #32476)",160,Other Social infrastructure and services,,Implementation,2,Grant,Pakistan,"https://global.factiva.com/aa/?ref=ASPTOD0020130608e9680000a&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://pakobserver.net/201308/01/detailnews.asp?id=214364, Media Report, including Wikileaks; http://pakobserver.net/detailnews.asp?id=209150, Media Report, including Wikileaks",3,"International Islamic Relief Organization (IIRO), Regional NGO",,"International Islamic Relief Organization (IIRO), Regional NGO",1,,,Checked,1,ORA-1,15,Mixed (Some Development),6,Active,1,"https://global.factiva.com/aa/?ref=ASPTOD0020130608e9680000a&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-11 12:06,various,"Dr. Abda Muhammad Ateen, Regional Director (International Islamic Relief Organization (IIRO)); Ehsan Bin Salah Tayyab, Secretary General (International Islamic Relief Organization (IIRO)); Jasim Al-Khaldi , Deputy Ambassador ",1,,2,5,7
32484,Saudi Arabia,Saudi Envoy distributes relief goods in Pakistan,2011,FALSE,"In Nov 2011, King Fahad Relief Foundation under Kind Abdullah's Relief Campaign for Pakistani People provided for Pakistani flood victims. The aid included 1000 tents, 2,500 blankets, and 4,000 food packages containing 10 kg rice, 5 kg sugar, 5 kg lentil, 5 litter cooking oil, 2 kg powder milk, 1 kg salt and tea for rains and flood affected people of Jhuddo of Mirpurkhas district.",700,Emergency Response,,Completion,3,Grant,Pakistan,"https://global.factiva.com/aa/?ref=NBBALU0020111114e7bc00014&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.geo.tv/important_events/2011/rains_flood/pages/english_news_12-11-2011.asp, Media Report, including Wikileaks; http://www.brecorder.com/pakistan/general-news/34843-saudi-envoy-distributed-relief-goods-among-flood-affectees.html, Media Report, including Wikileaks",3,"King Abdullah's Relief Campaign for Pakistani People (KARCPP), Government Agency",,"King Abdullah's Relief Campaign for Pakistani People (KARCPP), Government Agency",1,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=NBBALU0020111114e7bc00014&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-06-20 9:47,Jhuddo of Mirpurkhas district," Abdul Aziz Bin Ibrahim Al-Gadeer, Ambassador of Saudi Arabia at Islamabad ; Dr Khalid Othmani, Director General Kind Fahad Relief Foundation ; Dr Firdous Ashiq Awan, Federal Minister for Information and Broadcasting ",1,,2,7,9
32900,Saudi Arabia,Sacrificial Meat Given to Pakistan,2010,FALSE,"In Nov 2010, the regional office of the Custodian of the Two Holy Mosques Campaign for the Relief of the Pakistani People in Islamabad distributed sacrificial meat through local relief organizations in Pakistan. Deputy Regional Director the campaign Hammad Al-Hammad said the program has distributed 520 heads of cattle to the needy in different places of Pakistan.",520,Developmental Food Aid/Food Security Assistance,,Completion,3,Grant,Pakistan,"https://web.archive.org/web/20110106030032/http://saudiembassy.net/latest_news/news11171002.aspx, Government Source (Donor/Recipient)",1,"King Abdullah's Relief Campaign for Pakistani People (KARCPP), Government Agency",,"King Abdullah's Relief Campaign for Pakistani People (KARCPP), Government Agency",1,,,Checked,1,ORA-2,16,Mixed (Some Development),6,Active,1,,,,,,,,,,,,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,14-07-21 11:28,Islamabad,"Hammad Al-Hammad, Deputy Regional Director the campaign ",1,,3,7,10
36432,Saudi Arabia,"Saudi Fund for Development funds Peace and Development Programme in KP, Pakistan",2011,FALSE,"In 2011, the Saudi Fund for Development and the government of Saudi Arabia agreed to fund the Peace and Development Program in the Khyber Pakhtunkhwa Province of Pakistan. Projects involve promoting peace building and the rehabilitation/restoration of six tehsils: Babozai, Charbagh, Kabal, Khwazakhela, Matta Khararai, Matta Sebujni of Swat district. In 2012, total delivered amount reported was USD 3,948,000. Implementation of the project began in July 2011, and is planned on being completed by December 2017. ",998,Unallocated / Unspecified,,Implementation,2,Grant,Pakistan,"https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&NS=16&AID=9VIV000400&an=MENREP0020140415ea4f000ii&cat=a&ep=ASI, Media Report, including Wikileaks; http://www.pk.undp.org/content/pakistan/en/home/operations/projects/crisis_prevention_and_recovery/project_sample.html, Other Official Source (non-Donor, non-Recipient)",2,"Saudi Fund for Development, Government Agency",,"Saudi Fund for Development, Government Agency",1,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global-factiva-com.proxy.wm.edu/redir/default.aspx?P=sa&NS=16&AID=9VIV000400&an=MENREP0020140415ea4f000ii&cat=a&ep=ASI, Media Report, including Wikileaks",,,,,,,01-Jul-11,,,01-Dec-17,1,Pakistan,770,665,Pakistan,PAK,PK,586,564,FALSE,FALSE,FALSE,FALSE,,,,,,15-08-07 10:10,,,1,,3,5,8
32938,Saudi Arabia,Saudi Fund for Development co-sponsors 3.3 million JD water deal in Jordan,2013,FALSE,"Staff Note: unclear how much the Saudi Fund for Development contributed to this project; ambiguity in the reported financial amount. In December 2013, it was announced that the Jordan Water Ministry signed six agreements worth 3.3 million Jordanian Dinars to implement projects to improve the water situation in Irbid, Ramtha and Jerash. The projects are to be financed by the Gulf Cooperation Council grant through the Kuwait Fund for Arab Econonomic Development and the Saudi Fund for Development. According to a report from March of 2014, the projects include rehabilitating water networks and constructing water pipelines to enhance water supply before the summer and are actually worth 2.5 million Jordanian Dinars. No further update could be found on this project. ",140,Water Supply and Sanitation,,Pipeline: Commitment,11,Grant,Jordan,"https://global.factiva.com/aa/?ref=JORTI00020131227e9c10006s&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://jordantimes.com/gulf-fund-to-cover-water-projects-in-irbid-ajloun-jerash----nasser, Media Report, including Wikileaks",2,"Saudi Fund for Development, Government Agency",,"Saudi Fund for Development, Government Agency; Kuwaiti Fund for Arab Economic Development, Government Agency",2,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=JORTI00020131227e9c10006s&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Jordan,663,549,Jordan,JOR,JO,400,439,FALSE,FALSE,TRUE,FALSE,,,,,,14-10-06 11:22,"Irbid, Ramtha and Jerash","Hazem Nasser, Jordan Water Minister ",1,,1,6,7
32653,Saudi Arabia,14 trucks of Saudi aid to Syrian refugees in Jordan (linked to ID #32925),2013,FALSE,"In Jan 2013, under the Custodian of the Two Holy Mosques King Abdullah bin Abdulaziz Al Saud, the Saudi national campaign for the Support of Syrian Brothers distributed 14 trucks of urgent aid to the Syrian refugees in Al-Zaatari camp in Jordan. Yousef Al-Rahmah said that the aid included 4000 food baskets, 7200 blankets and 4,000 mats, in addition to 3000 sleeping bags that will be distributed over the campees, indicating that more than 20,000 refugee families have benefited from this assistance.",700,Emergency Response,,Completion,3,Grant,Jordan,"https://global.factiva.com/aa/?ref=SAUDPA0020130122e91l00008&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://web.archive.org/web/20130922154812/http://www.saudiembassy.net/latest_news/news01211303.aspx, Government Source (Donor/Recipient)",2,"Saudi National Campaign to Support Syrian Brethren, Government Agency",,"Saudi National Campaign to Support Syrian Brethren, Government Agency",1,,,Checked,1,ODA-like,2,Development,1,Active,1,"https://global.factiva.com/aa/?ref=SAUDPA0020130122e91l00008&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks",,,,,,,,,,,1,Jordan,663,549,Jordan,JOR,JO,400,439,FALSE,FALSE,FALSE,FALSE,,,,,,14-10-02 14:09,Al-Zaatari Camp,"Yousef Al-Rahmah, director of coordination and follow up department of Saudi campaign to support Syrian brothers ",1,,3,7,10
